time	V(vout)
5.549366833018355e-002	-1.994749e-001
5.565229431998268e-002	-2.003674e-001
5.580717388781289e-002	-2.012341e-001
5.596599091440365e-002	-2.021180e-001
5.612331086502983e-002	-2.029886e-001
5.628562565428728e-002	-2.038818e-001
5.645028109436463e-002	-2.047824e-001
5.662419181414708e-002	-2.057285e-001
5.672913799664678e-002	-2.062970e-001
5.674348906728637e-002	-2.063745e-001
5.677219120856555e-002	-2.065292e-001
5.682959549112392e-002	-2.068383e-001
5.683685537575719e-002	-2.068774e-001
5.685137514502371e-002	-2.069554e-001
5.686445930643671e-002	-2.070257e-001
5.686618030313491e-002	-2.070350e-001
5.686962229653130e-002	-2.070535e-001
5.687650628332409e-002	-2.070904e-001
5.687822728002229e-002	-2.070997e-001
5.687865752919685e-002	-2.071020e-001
5.687951802754594e-002	-2.071066e-001
5.688123902424414e-002	-2.071158e-001
5.688468101764053e-002	-2.071343e-001
5.689156500443333e-002	-2.071712e-001
5.690385905647490e-002	-2.072372e-001
5.692478419702231e-002	-2.073494e-001
5.695571149951870e-002	-2.075150e-001
5.700001119234505e-002	-2.077539e-001
5.704757297639302e-002	-2.080238e-001
5.710925857043127e-002	-2.084246e-001
5.718965183968439e-002	-2.090615e-001
5.728915780652143e-002	-2.100113e-001
5.740720329522550e-002	-2.112753e-001
5.751764320138378e-002	-2.125088e-001
5.752069869397324e-002	-2.125430e-001
5.752680967915217e-002	-2.126109e-001
5.753903164951003e-002	-2.127458e-001
5.756347559022575e-002	-2.130102e-001
5.759975340712398e-002	-2.133879e-001
5.764017727150264e-002	-2.137862e-001
5.767868522840662e-002	-2.141374e-001
5.775570114221459e-002	-2.147803e-001
5.782975774771210e-002	-2.153454e-001
5.790474111836003e-002	-2.158683e-001
5.799428499378145e-002	-2.164504e-001
5.807629072167165e-002	-2.169572e-001
5.817113817878893e-002	-2.175253e-001
5.826808245625544e-002	-2.180980e-001
5.839054124972136e-002	-2.188173e-001
5.852954064815027e-002	-2.196302e-001
5.871904032128077e-002	-2.207330e-001
5.891065682053110e-002	-2.218421e-001
5.907501128432392e-002	-2.227882e-001
5.923133653230978e-002	-2.236832e-001
5.940403582035547e-002	-2.246668e-001
5.956490167897437e-002	-2.255781e-001
5.972663101513023e-002	-2.264895e-001
5.988115384809423e-002	-2.273557e-001
6.003949694526733e-002	-2.282387e-001
6.019474745399927e-002	-2.290999e-001
6.035365710751372e-002	-2.299767e-001
6.051159307806961e-002	-2.308434e-001
6.067461052473846e-002	-2.317330e-001
6.084084863641981e-002	-2.326349e-001
6.101721717104631e-002	-2.335859e-001
6.120549009157510e-002	-2.345945e-001
6.141635719547508e-002	-2.357158e-001
6.165847386539068e-002	-2.369921e-001
6.196406447110048e-002	-2.385858e-001
6.236472250169581e-002	-2.406499e-001
6.270810553011140e-002	-2.423970e-001
6.295083445592897e-002	-2.436196e-001
6.298528431088840e-002	-2.437919e-001
6.305418402080726e-002	-2.441349e-001
6.319198344064496e-002	-2.448181e-001
6.334149486410567e-002	-2.455567e-001
6.335916361734195e-002	-2.456436e-001
6.339450112381451e-002	-2.458171e-001
6.343075533907419e-002	-2.459950e-001
6.345186448782511e-002	-2.460984e-001
6.346936996005302e-002	-2.461841e-001
6.347135060624294e-002	-2.461938e-001
6.347531189862279e-002	-2.462131e-001
6.348323448338249e-002	-2.462519e-001
6.349245458445782e-002	-2.462969e-001
6.350840611653885e-002	-2.463749e-001
6.352500142068662e-002	-2.464559e-001
6.355656487426487e-002	-2.466099e-001
6.359755908278014e-002	-2.468127e-001
6.364707244086024e-002	-2.470781e-001
6.370530499785782e-002	-2.474604e-001
6.378644520316411e-002	-2.481626e-001
6.389152715313350e-002	-2.493144e-001
6.400735550801318e-002	-2.507674e-001
6.411942137681004e-002	-2.522366e-001
6.412238752111382e-002	-2.522753e-001
6.412831980972138e-002	-2.523519e-001
6.414018438693649e-002	-2.525043e-001
6.414315053124027e-002	-2.525422e-001
6.414908281984783e-002	-2.526174e-001
6.416094739706293e-002	-2.527651e-001
6.418467655149317e-002	-2.530520e-001
6.420866111297974e-002	-2.533268e-001
6.425663023595288e-002	-2.538300e-001
6.433420380233267e-002	-2.545579e-001
6.440964568861993e-002	-2.551816e-001
6.448256140320000e-002	-2.557139e-001
6.456222324430783e-002	-2.562391e-001
6.464800841412252e-002	-2.567624e-001
6.473646756278283e-002	-2.572742e-001
6.483332007206069e-002	-2.578190e-001
6.494485018473538e-002	-2.584395e-001
6.507880943140947e-002	-2.591811e-001
6.524723773417160e-002	-2.601088e-001
6.546798388771336e-002	-2.613180e-001
6.564446504444993e-002	-2.622791e-001
6.579853895009727e-002	-2.631133e-001
6.597229966562464e-002	-2.640489e-001
6.613207547252109e-002	-2.649047e-001
6.629496094798364e-002	-2.657724e-001
6.644909348032241e-002	-2.665890e-001
6.660809469060634e-002	-2.674280e-001
6.662741529723730e-002	-2.675296e-001
6.666605651049921e-002	-2.677324e-001
6.667571681381469e-002	-2.677831e-001
6.669503742044565e-002	-2.678844e-001
6.673367863370756e-002	-2.680868e-001
6.675347444523540e-002	-2.681904e-001
6.675721838603967e-002	-2.682099e-001
