time	V(vin)	V(vout)
1.708825238766022e-002	-9.810493e-001	-2.284762e-002
1.713560994139700e-002	-9.809963e-001	-2.309286e-002
1.718599459391368e-002	-9.809399e-001	-2.333843e-002
1.727090595783601e-002	-9.808448e-001	-2.372913e-002
1.736409592200356e-002	-9.807405e-001	-2.413666e-002
1.744976767897871e-002	-9.806445e-001	-2.449482e-002
1.753347067584356e-002	-9.805508e-001	-2.483220e-002
1.762336509770845e-002	-9.804501e-001	-2.518393e-002
1.772698359544581e-002	-9.803340e-001	-2.557970e-002
1.781716046684949e-002	-9.802330e-001	-2.591808e-002
1.785880579035056e-002	-9.801863e-001	-2.607260e-002
1.786735858448260e-002	-9.801768e-001	-2.610413e-002
1.788446417274669e-002	-9.801576e-001	-2.616702e-002
1.788874056981271e-002	-9.801528e-001	-2.618272e-002
1.789729336394475e-002	-9.801432e-001	-2.621409e-002
1.789869821386486e-002	-9.801416e-001	-2.621925e-002
1.790150791370508e-002	-9.801385e-001	-2.622954e-002
1.790712731338552e-002	-9.801322e-001	-2.625011e-002
1.791610713381544e-002	-9.801221e-001	-2.628295e-002
1.793188693887046e-002	-9.801045e-001	-2.634058e-002
1.794640106330109e-002	-9.800882e-001	-2.639373e-002
1.797542931216236e-002	-9.800557e-001	-2.650342e-002
1.801850609818111e-002	-9.800074e-001	-2.668333e-002
1.806590490979929e-002	-9.799543e-001	-2.692715e-002
1.812592641685994e-002	-9.798871e-001	-2.733707e-002
1.820406145683596e-002	-9.797994e-001	-2.803043e-002
1.830780790056022e-002	-9.796832e-001	-2.910231e-002
1.842411585866930e-002	-9.795528e-001	-3.032470e-002
1.853544557309720e-002	-9.794280e-001	-3.143122e-002
1.854897255534652e-002	-9.794128e-001	-3.155723e-002
1.855235430090885e-002	-9.794090e-001	-3.158758e-002
1.855911779203351e-002	-9.794015e-001	-3.164766e-002
1.857264477428284e-002	-9.793863e-001	-3.176561e-002
1.859892214403863e-002	-9.793568e-001	-3.198793e-002
1.863087263920019e-002	-9.793210e-001	-3.224725e-002
1.866431715516106e-002	-9.792835e-001	-3.250355e-002
1.872913739595522e-002	-9.792108e-001	-3.296776e-002
1.881609035299448e-002	-9.791133e-001	-3.355084e-002
1.889399360301139e-002	-9.790259e-001	-3.404284e-002
1.897138733543372e-002	-9.789391e-001	-3.450838e-002
1.905746516904677e-002	-9.788425e-001	-3.500731e-002
1.914340688818522e-002	-9.787461e-001	-3.549055e-002
1.924192503203542e-002	-9.786355e-001	-3.603077e-002
1.934872982980056e-002	-9.785157e-001	-3.660454e-002
1.948149604311714e-002	-9.783667e-001	-3.730549e-002
1.964110629579588e-002	-9.781876e-001	-3.813516e-002
1.980643602536351e-002	-9.780020e-001	-3.898402e-002
1.982652781452688e-002	-9.779794e-001	-3.908616e-002
1.986671139285362e-002	-9.779342e-001	-3.928892e-002
1.992607715216770e-002	-9.778676e-001	-3.958751e-002
1.993537664525284e-002	-9.778572e-001	-3.963413e-002
1.995397563142311e-002	-9.778363e-001	-3.972714e-002
1.995862537796568e-002	-9.778311e-001	-3.975037e-002
1.996792487105082e-002	-9.778206e-001	-3.979676e-002
1.998652385722110e-002	-9.777997e-001	-3.988945e-002
1.999008818726840e-002	-9.777957e-001	-3.990720e-002
1.999721684736300e-002	-9.777877e-001	-3.994266e-002
2.001147416755219e-002	-9.777717e-001	-4.001348e-002
2.002818327793179e-002	-9.777529e-001	-4.009645e-002
2.004691924055246e-002	-9.777319e-001	-4.019080e-002
