time	V(output2)	V(vin2)
1.279639707732492e-002	-2.139713e-001	-9.744072e-001
1.285452824413854e-002	-2.160556e-001	-9.742910e-001
1.286811216634461e-002	-2.165490e-001	-9.742638e-001
1.289528001075676e-002	-2.175454e-001	-9.742094e-001
1.294961569958105e-002	-2.195476e-001	-9.741008e-001
1.295101714548136e-002	-2.195994e-001	-9.740980e-001
1.295382003728199e-002	-2.197034e-001	-9.740924e-001
1.295942582088325e-002	-2.199115e-001	-9.740812e-001
1.296082726678356e-002	-2.199635e-001	-9.740784e-001
1.296363015858419e-002	-2.200676e-001	-9.740728e-001
1.296923594218544e-002	-2.202759e-001	-9.740615e-001
1.298044750938795e-002	-2.206927e-001	-9.740391e-001
1.300127165568372e-002	-2.214667e-001	-9.739975e-001
1.303707753433193e-002	-2.227957e-001	-9.739258e-001
1.309351873779384e-002	-2.248864e-001	-9.738129e-001
1.310511049763493e-002	-2.253145e-001	-9.737898e-001
1.312829401731713e-002	-2.261687e-001	-9.737434e-001
1.313408989723768e-002	-2.263818e-001	-9.737318e-001
1.314568165707878e-002	-2.268071e-001	-9.737086e-001
1.316886517676097e-002	-2.276547e-001	-9.736623e-001
1.319898111637279e-002	-2.287495e-001	-9.736021e-001
1.323129882590977e-002	-2.299177e-001	-9.735374e-001
1.323937825329401e-002	-2.302082e-001	-9.735212e-001
1.325553710806250e-002	-2.307860e-001	-9.734889e-001
1.328785481759948e-002	-2.319373e-001	-9.734243e-001
1.329593424498373e-002	-2.322238e-001	-9.734081e-001
1.331209309975221e-002	-2.327934e-001	-9.733758e-001
1.334441080928919e-002	-2.339249e-001	-9.733112e-001
1.338243731876444e-002	-2.352439e-001	-9.732351e-001
1.341831676768526e-002	-2.364726e-001	-9.731634e-001
1.349007566552691e-002	-2.388926e-001	-9.730198e-001
1.359307755592936e-002	-2.423142e-001	-9.728138e-001
1.368777922125703e-002	-2.454176e-001	-9.726244e-001
1.377911748116063e-002	-2.483811e-001	-9.724418e-001
1.387054430427150e-002	-2.513288e-001	-9.722589e-001
1.397826839016233e-002	-2.547868e-001	-9.720435e-001
1.410440799186590e-002	-2.588203e-001	-9.717912e-001
1.426545995351015e-002	-2.639485e-001	-9.714691e-001
1.443444402316973e-002	-2.693042e-001	-9.711311e-001
1.459958273421572e-002	-2.745114e-001	-9.708008e-001
1.477530627209532e-002	-2.800233e-001	-9.704494e-001
1.494288523794171e-002	-2.852518e-001	-9.701142e-001
1.511519215620606e-002	-2.906000e-001	-9.697696e-001
1.525086538955130e-002	-2.947946e-001	-9.694983e-001
1.526348726714442e-002	-2.951838e-001	-9.694730e-001
1.528873102233068e-002	-2.959606e-001	-9.694225e-001
1.533921853270319e-002	-2.975125e-001	-9.693215e-001
1.539874687156373e-002	-2.993398e-001	-9.692025e-001
1.542227367555215e-002	-3.000612e-001	-9.691554e-001
1.542323757794697e-002	-3.000908e-001	-9.691535e-001
1.542516538273662e-002	-3.001498e-001	-9.691496e-001
1.542902099231591e-002	-3.002679e-001	-9.691420e-001
1.543581966169656e-002	-3.004761e-001	-9.691284e-001
1.544683825157594e-002	-3.008135e-001	-9.691063e-001
1.545855086738502e-002	-3.011719e-001	-9.690829e-001
1.547911192357898e-002	-3.018007e-001	-9.690418e-001
1.551094283495097e-002	-3.027734e-001	-9.689781e-001
1.555474255414929e-002	-3.041103e-001	-9.688905e-001
1.560243121153019e-002	-3.055647e-001	-9.687951e-001
1.561028709154338e-002	-3.058042e-001	-9.687794e-001
1.562599885156976e-002	-3.062837e-001	-9.687480e-001
1.565193123652797e-002	-3.070761e-001	-9.686961e-001
1.565382004828192e-002	-3.071339e-001	-9.686924e-001
1.565759767178980e-002	-3.072496e-001	-9.686848e-001
1.566515291880558e-002	-3.074813e-001	-9.686697e-001
1.566644408796979e-002	-3.075209e-001	-9.686671e-001
1.566684757833361e-002	-3.075332e-001	-9.686663e-001
1.566700897447914e-002	-3.075382e-001	-9.686660e-001
1.566797735135230e-002	-3.075679e-001	-9.686641e-001
1.566926852051651e-002	-3.076076e-001	-9.686615e-001
1.567185085884494e-002	-3.076869e-001	-9.686563e-001
1.567701553550181e-002	-3.078456e-001	-9.686460e-001
1.568734488881553e-002	-3.081637e-001	-9.686253e-001
1.570414942858936e-002	-3.086826e-001	-9.685917e-001
1.572969520765884e-002	-3.094751e-001	-9.685406e-001
1.576730664042422e-002	-3.106495e-001	-9.684654e-001
1.581133418514398e-002	-3.120354e-001	-9.683774e-001
1.586510098034542e-002	-3.137416e-001	-9.682698e-001
1.588735922118583e-002	-3.144534e-001	-9.682253e-001
1.590598222297813e-002	-3.150531e-001	-9.681880e-001
1.592512353669620e-002	-3.156730e-001	-9.681498e-001
1.594254576957666e-002	-3.162404e-001	-9.681149e-001
1.596508517685225e-002	-3.169788e-001	-9.680699e-001
1.598903987862094e-002	-3.177685e-001	-9.680219e-001
1.601489654917005e-002	-3.186264e-001	-9.679702e-001
1.604306572394117e-002	-3.195674e-001	-9.679139e-001
1.607698084477094e-002	-3.207060e-001	-9.678460e-001
1.607877892462467e-002	-3.207666e-001	-9.678425e-001
1.608237508433213e-002	-3.208882e-001	-9.678352e-001
1.608956740374704e-002	-3.211317e-001	-9.678209e-001
1.610395204257687e-002	-3.216195e-001	-9.677921e-001
1.610484239217002e-002	-3.216497e-001	-9.677903e-001
1.610662309135631e-002	-3.217103e-001	-9.677867e-001
1.611018448972889e-002	-3.218316e-001	-9.677796e-001
1.611624359623375e-002	-3.220381e-001	-9.677675e-001
1.612604842028332e-002	-3.223731e-001	-9.677479e-001
1.613632661541104e-002	-3.227254e-001	-9.677274e-001
1.615688300566649e-002	-3.234321e-001	-9.676862e-001
1.615810078797330e-002	-3.234740e-001	-9.676838e-001
1.616053635258690e-002	-3.235581e-001	-9.676789e-001
1.616540748181412e-002	-3.237265e-001	-9.676692e-001
1.617514974026856e-002	-3.240639e-001	-9.676497e-001
1.619463425717743e-002	-3.247406e-001	-9.676107e-001
1.622535920612481e-002	-3.258108e-001	-9.675493e-001
1.625475084064638e-002	-3.268381e-001	-9.674905e-001
1.630277098426008e-002	-3.285238e-001	-9.673945e-001
1.635479095034633e-002	-3.303614e-001	-9.672904e-001
1.641323303761924e-002	-3.324410e-001	-9.671735e-001
1.647404329535285e-002	-3.346171e-001	-9.670519e-001
1.651944788721435e-002	-3.362468e-001	-9.669611e-001
1.652608283673892e-002	-3.364853e-001	-9.669479e-001
1.653935273578806e-002	-3.369626e-001	-9.669213e-001
