time	V(output)	V(vin)
1.616540748181412e-002	3.956346e-002	1.517666e-001
1.617514974026856e-002	3.961818e-002	1.518574e-001
1.619463425717743e-002	3.972796e-002	1.520389e-001
1.622535920612481e-002	3.990176e-002	1.523251e-001
1.625475084064638e-002	4.006889e-002	1.525989e-001
1.630277098426008e-002	4.034386e-002	1.530461e-001
1.635479095034633e-002	4.064433e-002	1.535306e-001
1.641323303761924e-002	4.098528e-002	1.540749e-001
1.647404329535285e-002	4.134349e-002	1.546411e-001
1.651944788721435e-002	4.161309e-002	1.550639e-001
1.652608283673892e-002	4.165275e-002	1.551257e-001
1.653935273578806e-002	4.173246e-002	1.552492e-001
1.656589253388633e-002	4.189232e-002	1.554963e-001
1.657252748341090e-002	4.193239e-002	1.555581e-001
1.657418622079204e-002	4.194243e-002	1.555735e-001
1.657750369555432e-002	4.196250e-002	1.556044e-001
1.658413864507889e-002	4.200271e-002	1.556662e-001
1.659740854412802e-002	4.208326e-002	1.557897e-001
1.662316088728413e-002	4.223983e-002	1.560295e-001
1.662635894483622e-002	4.225931e-002	1.560592e-001
1.663275505994042e-002	4.229829e-002	1.561188e-001
1.664554729014880e-002	4.237630e-002	1.562379e-001
1.667113175056557e-002	4.253236e-002	1.564760e-001
1.669687029427204e-002	4.268936e-002	1.567156e-001
1.674834738168497e-002	4.300327e-002	1.571948e-001
1.675912424728591e-002	4.306896e-002	1.572951e-001
1.678067797848781e-002	4.320025e-002	1.574957e-001
1.682378544089159e-002	4.346270e-002	1.578969e-001
1.683234661743775e-002	4.351479e-002	1.579766e-001
1.684946897053007e-002	4.361880e-002	1.581359e-001
1.688371367671470e-002	4.382637e-002	1.584546e-001
1.692201126147850e-002	4.405778e-002	1.588109e-001
1.695892007892386e-002	4.427986e-002	1.591544e-001
1.703273771381457e-002	4.472198e-002	1.598412e-001
1.712615174572498e-002	4.527926e-002	1.607102e-001
1.722245680407491e-002	4.585225e-002	1.616060e-001
1.731158546066352e-002	4.638212e-002	1.624349e-001
1.740561370775626e-002	4.694165e-002	1.633093e-001
1.751017560198710e-002	4.756526e-002	1.642814e-001
1.763772923029646e-002	4.832844e-002	1.654672e-001
1.779378843547514e-002	4.926580e-002	1.669175e-001
1.796048492046467e-002	5.027144e-002	1.684664e-001
1.814109182571297e-002	5.136599e-002	1.701440e-001
1.831047622727988e-002	5.239723e-002	1.717169e-001
1.848036014606736e-002	5.343607e-002	1.732940e-001
1.863756950158792e-002	5.440097e-002	1.747531e-001
1.872151075010529e-002	5.491765e-002	1.755320e-001
1.876987155778736e-002	5.521588e-002	1.759806e-001
1.877813629619491e-002	5.526690e-002	1.760573e-001
1.879466577301001e-002	5.536899e-002	1.762107e-001
1.882772472664022e-002	5.557327e-002	1.765174e-001
1.883200912764864e-002	5.559975e-002	1.765571e-001
1.884057792966547e-002	5.565273e-002	1.766366e-001
1.884994736832015e-002	5.571068e-002	1.767235e-001
1.886163793428294e-002	5.578300e-002	1.768320e-001
1.887321606354655e-002	5.585464e-002	1.769394e-001
1.888947044917413e-002	5.595526e-002	1.770901e-001
1.890685937247968e-002	5.606295e-002	1.772514e-001
1.894163721909077e-002	5.627847e-002	1.775740e-001
1.898351015273321e-002	5.653820e-002	1.779624e-001
1.903533812754892e-002	5.686018e-002	1.784430e-001
1.908120951102440e-002	5.714586e-002	1.788684e-001
1.910387910849620e-002	5.728744e-002	1.790786e-001
1.910773561004082e-002	5.731159e-002	1.791143e-001
1.911544861313007e-002	5.735996e-002	1.791859e-001
1.912546815099598e-002	5.742288e-002	1.792788e-001
1.913536358733521e-002	5.748512e-002	1.793705e-001
1.915016679540967e-002	5.757843e-002	1.795078e-001
1.916584746363550e-002	5.767757e-002	1.796532e-001
1.919720880008715e-002	5.787671e-002	1.799439e-001
1.923869652424219e-002	5.814159e-002	1.803285e-001
1.928714449075260e-002	5.845306e-002	1.807776e-001
1.934696763838996e-002	5.884007e-002	1.813321e-001
1.935574674340930e-002	5.889721e-002	1.814135e-001
1.937330495344797e-002	5.901196e-002	1.815762e-001
1.937769450595765e-002	5.904070e-002	1.816169e-001
1.938647361097698e-002	5.909833e-002	1.816983e-001
1.940123220077740e-002	5.919535e-002	1.818351e-001
1.940378846522115e-002	5.921218e-002	1.818587e-001
1.940442753133208e-002	5.921639e-002	1.818647e-001
1.940570566355396e-002	5.922481e-002	1.818765e-001
1.940826192799770e-002	5.924167e-002	1.819002e-001
1.941337445688520e-002	5.927542e-002	1.819476e-001
1.942029857150658e-002	5.932120e-002	1.820118e-001
1.943409373683661e-002	5.941261e-002	1.821396e-001
1.945462026139573e-002	5.954913e-002	1.823298e-001
1.948791893026526e-002	5.977169e-002	1.826384e-001
1.952959412999242e-002	6.005187e-002	1.830245e-001
1.957885226929016e-002	6.038458e-002	1.834809e-001
