time	V(vin)	V(n032)
7.323905355961834e-002	7.958131e-001	8.542673e-002
7.350400605058755e-002	7.978248e-001	8.620010e-002
7.368872968787077e-002	7.992221e-001	8.673192e-002
7.371741994837418e-002	7.994388e-001	8.681379e-002
7.377480046938098e-002	7.998717e-001	8.697647e-002
7.388956151139460e-002	8.007364e-001	8.729994e-002
7.403884859425018e-002	8.018588e-001	8.771805e-002
7.409284925783975e-002	8.022640e-001	8.786836e-002
7.412916688286060e-002	8.025364e-001	8.796901e-002
7.413824628911582e-002	8.026045e-001	8.799413e-002
7.415640510162624e-002	8.027406e-001	8.804429e-002
7.416094480475385e-002	8.027746e-001	8.805682e-002
7.417002421100907e-002	8.028426e-001	8.808186e-002
7.418818302351950e-002	8.029786e-001	8.813192e-002
7.418843844883370e-002	8.029805e-001	8.813262e-002
7.418894929946213e-002	8.029844e-001	8.813403e-002
7.418997100071897e-002	8.029920e-001	8.813684e-002
7.419201440323266e-002	8.030074e-001	8.814247e-002
7.419610120826002e-002	8.030379e-001	8.815372e-002
7.420427481831476e-002	8.030992e-001	8.817621e-002
7.421380991008532e-002	8.031706e-001	8.820243e-002
7.423288009362643e-002	8.033133e-001	8.825481e-002
7.426296283888108e-002	8.035384e-001	8.833748e-002
7.430726217293183e-002	8.038696e-001	8.846185e-002
7.435386567133423e-002	8.042178e-001	8.860672e-002
7.441463726678571e-002	8.046715e-001	8.884121e-002
7.449195489002064e-002	8.052480e-001	8.923336e-002
7.459483748249107e-002	8.060139e-001	8.988834e-002
7.471157542201971e-002	8.068813e-001	9.072966e-002
7.482258711701358e-002	8.077046e-001	9.155928e-002
7.484446780808314e-002	8.078666e-001	9.172109e-002
7.484993798085053e-002	8.079072e-001	9.176093e-002
7.485130552404237e-002	8.079173e-001	9.177084e-002
7.485404061042607e-002	8.079375e-001	9.179059e-002
7.485951078319346e-002	8.079780e-001	9.182982e-002
7.487045112872824e-002	8.080590e-001	9.190705e-002
7.489233181979781e-002	8.082210e-001	9.205746e-002
7.491672626454439e-002	8.084015e-001	9.221724e-002
7.496551515403756e-002	8.087622e-001	9.251543e-002
7.501982407323710e-002	8.091634e-001	9.282453e-002
7.504654339278999e-002	8.093606e-001	9.296741e-002
7.505322322267821e-002	8.094099e-001	9.300157e-002
7.506658288245466e-002	8.095085e-001	9.306823e-002
7.508140727369032e-002	8.096179e-001	9.314088e-002
7.509592050422095e-002	8.097249e-001	9.321033e-002
7.511702326476569e-002	8.098805e-001	9.330874e-002
7.513947912068179e-002	8.100460e-001	9.341098e-002
